P_net,T_in_ref_blk,p_high,PR,pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1023.150000,308.150000,0.485698,0.798266,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1024.272449,308.150000,0.485640,0.803681,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1025.394898,308.150000,0.486027,0.808016,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1026.517347,308.150000,0.486209,0.812659,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1027.639796,308.150000,0.486543,0.816959,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1028.762245,308.150000,0.486671,0.821675,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1029.884694,308.150000,0.486752,0.826348,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1031.007143,308.150000,0.487053,0.831230,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1032.129592,308.150000,0.487473,0.835222,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1033.252041,308.150000,0.486958,0.841184,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1034.374490,308.150000,0.488027,0.844602,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1035.496939,308.150000,0.488242,0.849054,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1036.619388,308.150000,0.488418,0.853793,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1037.741837,308.150000,0.488589,0.858574,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1038.864286,308.150000,0.488714,0.863153,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1039.986735,308.150000,0.488833,0.867669,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1041.109184,308.150000,0.489479,0.872949,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1042.231633,308.150000,0.489724,0.877286,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1043.354082,308.150000,0.489829,0.877982,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1044.476531,308.150000,0.490073,0.886319,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1045.598980,308.150000,0.489932,0.887733,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1046.721429,308.150000,0.490341,0.892134,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1047.843878,308.150000,0.489989,0.897736,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1048.966327,308.150000,0.490123,0.902471,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1050.088776,308.150000,0.490182,0.907347,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1051.211224,308.150000,0.490201,0.912226,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1052.333673,308.150000,0.490658,0.916258,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1053.456122,308.150000,0.490726,0.921041,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1054.578571,308.150000,0.490856,0.925692,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1055.701020,308.150000,0.491016,0.930266,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1056.823469,308.150000,0.491087,0.934836,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1057.945918,308.150000,0.491691,0.938964,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1059.068367,308.150000,0.491758,0.943589,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1060.190816,308.150000,0.491717,0.948453,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1061.313265,308.150000,0.491563,0.953216,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1062.435714,308.150000,0.491776,0.957784,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1063.558163,308.150000,0.491927,0.961914,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1064.680612,308.150000,0.491860,0.966849,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1065.803061,308.150000,0.491994,0.971120,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1066.925510,308.150000,0.492070,0.975690,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1068.047959,308.150000,0.492042,0.980321,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1069.170408,308.150000,0.492336,0.983058,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1070.292857,308.150000,0.491978,0.989295,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1071.415306,308.150000,0.491749,0.993536,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1072.537755,308.150000,0.491640,0.997149,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1073.660204,308.150000,0.491957,0.996983,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1074.782653,308.150000,0.495367,0.975854,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1075.905102,308.150000,0.492734,0.999739,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1077.027551,308.150000,0.493140,1.000005,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,1.000000,1078.150000,308.150000,0.493574,1.000535,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.450000,1073.150000,308.150000,0.450323,0.450012,
55555555.555556,1073.150000,25000000.000000,-1.000000,-1.000000,-1.000000,0.466327,1073.150000,308.150000,0.453633,0.466495,
