deviation_load,deviation_T_in,deviation_T_amb_input,deviation_eta_gross
0.0,70.0,0.0,0.028839000000000004
0.0,68.46938799999998,0.0,0.027911999999999992
0.0,66.93877599999996,0.0,0.02670699999999998
0.0,65.40816299999994,0.0,0.025236999999999954
0.0,63.877550999999926,0.0,0.026088999999999973
0.0,62.34693900000002,0.0,0.022126999999999952
0.0,60.816327,0.0,0.021168999999999993
0.0,59.285713999999984,0.0,0.020252999999999965
0.0,57.755101999999965,0.0,0.019071999999999978
0.0,56.224489999999946,0.0,0.018162999999999985
0.0,54.69387799999993,0.0,0.017282999999999993
0.0,53.163265000000024,0.0,0.016459
0.0,51.632653000000005,0.0,0.015492000000000006
0.0,50.102040999999986,0.0,0.01533699999999999
0.0,48.571428999999966,0.0,0.013448999999999989
0.0,47.04081599999995,0.0,0.012662000000000007
0.0,45.51020399999993,0.0,0.012723999999999958
0.0,43.979592000000025,0.0,0.01170899999999997
0.0,42.448980000000006,0.0,0.011185
0.0,40.91836699999999,0.0,0.01049
0.0,39.38775499999997,0.0,0.009973999999999983
0.0,37.85714299999995,0.0,0.009251999999999982
0.0,36.32653099999993,0.0,0.008375999999999995
0.0,34.79591800000003,0.0,0.008224999999999982
0.0,33.26530600000001,0.0,0.00946199999999997
0.0,31.73469399999999,0.0,0.008456999999999992
0.0,30.20408199999997,0.0,0.006253999999999982
0.0,28.673468999999955,0.0,0.005701999999999985
0.0,27.142856999999935,0.0,0.005394999999999983
0.0,25.61224500000003,0.0,0.0049919999999999964
0.0,24.08163300000001,0.0,0.00433699999999998
0.0,22.551019999999994,0.0,0.00411499999999998
0.0,21.020407999999975,0.0,0.003104999999999969
0.0,19.489795999999956,0.0,0.0025560000000000027
0.0,17.959183999999937,0.0,0.0022789999999999755
0.0,16.428571000000034,0.0,0.0020540000000000003
0.0,14.897959000000014,0.0,0.0017939999999999623
0.0,13.367346999999995,0.0,0.001566999999999985
0.0,11.836734999999976,0.0,0.0014239999999999808
0.0,10.30612199999996,0.0,0.0011849999999999916
0.0,8.77550999999994,0.0,0.001318999999999959
0.0,7.244897999999921,0.0,0.0015600000000000058
0.0,5.7142860000000155,0.0,0.0011299999999999644
0.0,4.183672999999999,0.0,0.00040199999999995795
0.0,2.6530609999999797,0.0,0.0006919999999999704
0.0,1.1224489999999605,0.0,0.0005000000000000004
0.0,-0.4081630000000587,0.0,-0.00015999999999999348
0.0,-1.9387760000000753,0.0,-0.002796999999999994
0.0,-3.469387999999981,0.0,-0.003493000000000024
0.0,-5.0,0.0,-0.004200000000000037
0.7,0.0,0.0,0.13269999999999998
0.680612,0.0,0.0,0.121473
0.661224,0.0,0.0,0.10945299999999997
0.641837,0.0,0.0,0.09926399999999996
0.622449,0.0,0.0,0.090175
0.6030610000000001,0.0,0.0,0.08258199999999999
0.583673,0.0,0.0,0.07472199999999996
0.5642860000000001,0.0,0.0,0.06838299999999997
0.544898,0.0,0.0,0.060773999999999995
0.5255099999999999,0.0,0.0,0.055566000000000004
0.506122,0.0,0.0,0.04922199999999999
0.48673500000000003,0.0,0.0,0.04383699999999996
0.46734699999999996,0.0,0.0,0.03920199999999996
0.447959,0.0,0.0,0.03496499999999997
0.42857100000000004,0.0,0.0,0.031048999999999993
0.409184,0.0,0.0,0.027308999999999972
0.38979600000000003,0.0,0.0,0.026042999999999983
0.37040799999999996,0.0,0.0,0.022875999999999952
0.35102,0.0,0.0,0.020852999999999955
0.33163299999999996,0.0,0.0,0.017217999999999956
0.312245,0.0,0.0,0.014784999999999993
0.29285700000000003,0.0,0.0,0.012644999999999962
0.27346899999999996,0.0,0.0,0.01066499999999998
0.25408200000000003,0.0,0.0,0.009835999999999956
0.23469399999999996,0.0,0.0,0.007568999999999992
0.215306,0.0,0.0,0.006288999999999989
